dataset,experiment,model_label,backbone,probe,layer_key,n_seeds,seeds,seed_source,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std
intphys2,ltx,LTX-13B,LTX-13B,linear,id:6,3,"42,101,102",ready_manifest,24.18300653594771,4.934532310634479,52.77777777777777,1.1320593513522197,11.764705882352935,3.396178054056609,51.14379084967318,0.7487868782607958
intphys2,ltx,LTX-13B,LTX-13B,linear,id:7,3,"42,101,102",ready_manifest,15.032679738562084,1.1320593513522004,52.28758169934638,1.5757599282668664,13.725490196078423,1.9607843137254797,54.41176470588235,1.6980890270283153
intphys2,ltx,LTX-13B,LTX-13B,linear,id:8,3,"42,101,102",ready_manifest,13.071895424836587,2.2641187027044265,50.49019607843137,2.1367151684022883,20.915032679738534,1.1320593513521808,53.267973856209125,0.7487868782607199
intphys2,ltx,LTX-13B,LTX-13B,linear,id:9,3,"42,101,102",ready_manifest,19.60784313725488,7.069708383262695,49.34640522875817,0.7487868782607578,12.418300653594768,4.528237405408822,50.81699346405226,0.5660296756761263
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.1_block_12,3,"42,101,102",ready_manifest,24.183006535947705,10.061963606758582,52.777777777777764,1.9811038648663475,15.686274509803908,5.187747668754116,52.614379084967325,0.5660296756761016
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.1_block_24,3,"42,101,102",ready_manifest,49.673202614379065,2.995147513043042,60.620915032679726,1.0204245095421989,33.33333333333333,3.9215686274509736,59.80392156862744,1.2969369171885416
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.1_block_36,3,"42,101,102",ready_manifest,35.94771241830065,2.264118702704415,56.04575163398693,0.5660296756761057,33.98692810457516,4.0816980381688825,61.111111111111086,0.28301483783803444
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.1_block_48,3,"42,101,102",ready_manifest,24.183006535947698,6.303039713067265,53.75816993464049,0.7487868782607446,29.41176470588233,3.396178054056637,57.02614379084966,0.7487868782607803
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.2_block_12,3,"42,101,102",ready_manifest,30.718954248365996,2.264118702704425,55.06535947712418,0.5660296756761078,17.64705882352938,3.9215686274509345,54.5751633986928,0.5660296756760955
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.2_block_24,3,"42,101,102",ready_manifest,47.05882352941174,3.692088357856443e-14,59.31372549019608,2.9411764705882284,40.52287581699344,6.303039713067267,59.31372549019607,0.980392156862731
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.2_block_36,3,"42,101,102",ready_manifest,35.29411764705882,1.9607843137254868,59.967320261437905,1.0204245095422217,36.60130718954248,1.1320593513522033,61.43790849673202,1.2336330776586295
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.2_block_48,3,"42,101,102",ready_manifest,30.718954248365993,4.081698038168914,54.41176470588235,1.2969369171885188,24.183006535947687,2.2641187027043923,55.22875816993463,1.0204245095422007
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.3_block_12,3,"42,101,102",ready_manifest,32.02614379084966,7.924415459465451,55.88235294117644,1.7674270958157279,13.725490196078423,1.9607843137254797,55.06535947712418,0.5660296756761078
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.3_block_24,3,"42,101,102",ready_manifest,41.83006535947709,1.1320593513522381,61.928104575163374,1.575759928266835,38.56209150326794,2.9951475130429897,59.31372549019606,0.49019607843134594
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.3_block_36,3,"42,101,102",ready_manifest,29.411764705882334,1.9607843137255205,52.77777777777776,2.9547616535988803,31.37254901960783,1.9607843137254726,56.0457516339869,2.6997894839637806
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.3_block_48,3,"42,101,102",ready_manifest,27.450980392156847,3.39617805405661,51.79738562091501,1.233633077658662,17.64705882352939,8.985442539129064,52.450980392156865,0.8490445135141504
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.4_block_12,3,"42,101,102",ready_manifest,33.33333333333332,3.9215686274509807,55.228758169934615,0.7487868782607306,14.379084967320253,2.2641187027044087,54.411764705882334,2.871624278332789e-14
